;OBJECTID_1;LAN_ew_AGS;LAN_ew_GEN;LAN_ew_BEZ;LAN_ew_EWZ;OBJECTID;Fallzahl;Aktualisierung;AGS_TXT;GlobalID;faelle_100000_EW;Shape__Area;Shape__Length;Death;cases7_bl_per_100k;cases7_bl;death7_bl;cases7_bl_per_100k_txt;AdmUnitId
0;1;01;Schleswig-Holstein;Land;2910875;15;837055;1656540000000;01;fc5ba936-c95c-432c-8a33-9eb2f30b660f;28756.1300296303;45737314116.8701;2881496.1295035;2612;1036.90471078284;30183;4;1036,9;1
1;2;02;Hamburg;Freie und Hansestadt;1852478;6;633772;1656540000000;02;0f3e860c-5181-4d3f-a421-1d51f50315ea;34212.1201979187;2089396054.82129;418800.187474072;2724;648.64468026071;12016;3;648,6;2
2;3;03;Niedersachsen;Land;8003421;9;2632555;1656540000000;03;3fd77024-c29b-4843-9be8-682ad48e60c9;32892.8716857454;129983613598.973;4008988.2951652;9684;965.849478616707;77301;6;965,8;3
3;4;04;Bremen;Freie Hansestadt;680130;5;217164;1656540000000;04;4132268b-54de-4327-ac1e-760e915112f1;31929.7781306515;1119156745.43408;335717.737774516;791;784.702924440916;5337;2;784,7;4
4;5;05;Nordrhein-Westfalen;Land;17925570;10;5746467;1656540000000;05;561d658f-3ee5-46e3-bc95-3528c6558ab9;32057.3739077753;87829361998.0295;2648672.50917441;25753;782.407477140197;140251;16;782,4;5
5;6;06;Hessen;Land;6293154;7;2033119;1656540000000;06;93277ac4-e8fc-48c7-8940-028dc2ed66af;32306.8369215182;52359125900.6655;2148243.6201819;10348;768.469991358864;48361;8;768,5;6
6;7;07;Rheinland-Pfalz;Land;4098391;11;1247374;1656540000000;07;e9b4296f-9be2-4e53-9a58-ccf1396cb03d;30435.7002540753;47838767393.1633;1774430.12830596;5756;626.90455839865;25693;4;626,9;7
7;8;08;Baden-Württemberg;Land;11103043;1;3860465;1656540000000;08;80394ddf-c6a4-4a6e-be8e-0259a81b22a9;34769.4321277509;81517323536.8628;2544320.39805124;16332;553.632008810558;61470;8;553,6;8
8;9;09;Bayern;Freistaat;13140183;2;5158687;1656540000000;09;1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a;39258.8672471304;163485540875.077;3898617.90542911;24393;609.930622731814;80146;8;609,9;9
9;10;10;Saarland;Land;983991;12;340396;1656540000000;10;e3396a6f-8a30-4fdf-8df7-def77dd38bea;34593.4058339964;6060691818.01318;562678.876124348;1719;842.690634365558;8292;0;842,7;10
10;11;11;Berlin;Land;3664088;3;1103337;1656540000000;11;c7033073-2bb0-486b-97af-5b3c639e7219;30112.1861702012;2402458320.59863;363979.182407356;4648;423.24310988164;15508;1;423,2;11
11;12;12;Brandenburg;Land;2531071;4;824477;1656540000000;12;b560af89-5895-4be4-96f8-0f581cd8a858;32574.2343853649;79801970800.2686;2571385.42188057;5718;428.751307252938;10852;2;428,8;12
12;13;13;Mecklenburg-Vorpommern;Land;1610774;8;514858;1656540000000;13;a27f5628-e790-45be-898d-f0a6841c0f7e;31963.3915124034;65873523064.0757;4131181.10875485;2258;631.311406814364;10169;1;631,3;13
13;14;14;Sachsen;Freistaat;4056941;13;1560541;1656540000000;14;256d2405-a7c8-4fec-93df-29f3c808cd25;38465.9525489772;46626497892.9951;2048279.98573376;15600;391.920907895875;15900;2;391,9;14
14;15;15;Sachsen-Anhalt;Land;2180684;14;744124;1656540000000;15;66106bbe-f04b-4f92-80e1-5b5b30da25b5;34123.4218254456;54177007537.6553;1920386.52842308;5411;411.568113490996;8975;4;411,6;15
15;16;16;Thüringen;Freistaat;2120237;16;726470;1656540000000;16;3a3e2817-bb19-4f8c-8bca-d8ff591140d4;34263.622415796;40685205073.9761;2015719.49965031;7358;259.546456363133;5503;1;259,5;16
